appName,amount,describe,cost,applications
灵通钱包,1000-5000,一分钟认证，十分钟审核，半小时放款,0.021%日利率,11085
任性放,1000-3000,一分钟认证，十分钟审核，半小时放款,0.03%日利率,7915
金牛宝,800-3000,芝麻分580以上就能借秒到账,0.0003,3644
猫猫钱包,1000-5000,芝麻600分极速下款,0.03%,3642
购e融消费贷,,江苏银行口子，额度最高30w,,4671
多米云,1000-10000,芝麻分大于550分，统统来，口子放水，速度上人，最高5000，,,8204
金马小袋,1000-5000,审核简易，下款顺捷,0.04%,3857
量贩贷,500~10000（件均2000）, 10分钟审核 急速放款,  7天0.5%,3268
金优米,1000-5000,"新口子,审核简单下款快，首次额度1000-8000",,7830
米仓管家,1000-5000,芝麻分大于550分,年利率6.5%,5955
暖薪贷,,,,4298
置信宝,1000-5000,零门槛，1000-5000额度三分钟放款,0.03%,5378
树袋熊,,,,11721
好易钱,,,,33262
